@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,150,0,138,62,0.69,1,0.520833,1,0.479167,0.684932,0.822857,1.215278,0.056368
63,150,0,137,63,0.685,1,0.522648,1,0.477352,0.686499,0.82,1.219512,0.056383
64,150,0,136,64,0.68,1,0.524476,1,0.475524,0.688073,0.817143,1.223776,0.056776
65,150,0,135,65,0.675,1,0.526316,1,0.473684,0.689655,0.814286,1.22807,0.056843
66,150,0,134,66,0.67,1,0.528169,1,0.471831,0.691244,0.811429,1.232394,0.057226
67,150,0,133,67,0.665,1,0.530035,1,0.469965,0.692841,0.808571,1.236749,0.057311
68,150,0,132,68,0.66,1,0.531915,1,0.468085,0.694444,0.805714,1.241135,0.057797
69,150,0,131,69,0.655,1,0.533808,1,0.466192,0.696056,0.802857,1.245552,0.057897
70,150,0,130,70,0.65,1,0.535714,1,0.464286,0.697674,0.8,1.25,0.058892
71,150,0,129,71,0.645,1,0.537634,1,0.462366,0.699301,0.797143,1.25448,0.059308
72,150,0,128,72,0.64,1,0.539568,1,0.460432,0.700935,0.794286,1.258993,0.059438
73,150,0,127,73,0.635,1,0.541516,1,0.458484,0.702576,0.791429,1.263538,0.059785
74,150,0,126,74,0.63,1,0.543478,1,0.456522,0.704225,0.788571,1.268116,0.060914
75,150,0,125,75,0.625,1,0.545455,1,0.454545,0.705882,0.785714,1.272727,0.062159
76,150,0,124,76,0.62,1,0.547445,1,0.452555,0.707547,0.782857,1.277372,0.06356
77,150,0,123,77,0.615,1,0.549451,1,0.450549,0.70922,0.78,1.282051,0.063908
78,150,0,122,78,0.61,1,0.551471,1,0.448529,0.7109,0.777143,1.286765,0.065204
79,150,0,121,79,0.605,1,0.553506,1,0.446494,0.712589,0.774286,1.291513,0.065372
80,150,0,120,80,0.6,1,0.555556,1,0.444444,0.714286,0.771429,1.296296,0.068484
81,150,0,119,81,0.595,1,0.557621,1,0.442379,0.71599,0.768571,1.301115,0.068853
82,150,0,118,82,0.59,1,0.559701,1,0.440299,0.717703,0.765714,1.30597,0.069674
83,150,0,117,83,0.585,1,0.561798,1,0.438202,0.719424,0.762857,1.310861,0.070236
84,149,1,117,83,0.585,0.993333,0.56015,0.993333,0.43985,0.716346,0.76,1.307018,0.071079
85,149,1,116,84,0.58,0.993333,0.562264,0.993333,0.437736,0.718072,0.757143,1.31195,0.071519
86,149,1,115,85,0.575,0.993333,0.564394,0.993333,0.435606,0.719807,0.754286,1.316919,0.074755
87,149,1,114,86,0.57,0.993333,0.56654,0.993333,0.43346,0.72155,0.751429,1.321926,0.075385
88,149,1,113,87,0.565,0.993333,0.568702,0.993333,0.431298,0.723301,0.748571,1.326972,0.075634
89,149,1,112,88,0.56,0.993333,0.570881,0.993333,0.429119,0.725061,0.745714,1.332056,0.080222
90,149,1,111,89,0.555,0.993333,0.573077,0.993333,0.426923,0.726829,0.742857,1.337179,0.080282
91,149,1,110,90,0.55,0.993333,0.57529,0.993333,0.42471,0.728606,0.74,1.342342,0.080499
92,149,1,109,91,0.545,0.993333,0.577519,0.993333,0.422481,0.730392,0.737143,1.347545,0.080672
93,149,1,108,92,0.54,0.993333,0.579767,0.993333,0.420233,0.732187,0.734286,1.352789,0.081032
94,149,1,107,93,0.535,0.993333,0.582031,0.993333,0.417969,0.73399,0.731429,1.358073,0.081103
95,149,1,106,94,0.53,0.993333,0.584314,0.993333,0.415686,0.735802,0.728571,1.363399,0.082449
96,149,1,105,95,0.525,0.993333,0.586614,0.993333,0.413386,0.737624,0.725714,1.368766,0.082715
97,149,1,104,96,0.52,0.993333,0.588933,0.993333,0.411067,0.739454,0.722857,1.374177,0.083745
98,149,1,103,97,0.515,0.993333,0.59127,0.993333,0.40873,0.741294,0.72,1.37963,0.085646
99,149,1,102,98,0.51,0.993333,0.593625,0.993333,0.406375,0.743142,0.717143,1.385126,0.088837
100,149,1,101,99,0.505,0.993333,0.596,0.993333,0.404,0.745,0.714286,1.390667,0.090265
101,149,1,100,100,0.5,0.993333,0.598394,0.993333,0.401606,0.746867,0.711429,1.396252,0.090517
102,148,2,100,100,0.5,0.986667,0.596774,0.986667,0.403226,0.743719,0.708571,1.392473,0.094162
103,148,2,99,101,0.495,0.986667,0.59919,0.986667,0.40081,0.745592,0.705714,1.398111,0.096028
104,148,2,98,102,0.49,0.986667,0.601626,0.986667,0.398374,0.747475,0.702857,1.403794,0.096495
105,148,2,97,103,0.485,0.986667,0.604082,0.986667,0.395918,0.749367,0.7,1.409524,0.097927
106,148,2,96,104,0.48,0.986667,0.606557,0.986667,0.393443,0.751269,0.697143,1.415301,0.098568
107,148,2,95,105,0.475,0.986667,0.609053,0.986667,0.390947,0.753181,0.694286,1.421125,0.099985
108,148,2,94,106,0.47,0.986667,0.61157,0.986667,0.38843,0.755102,0.691429,1.426997,0.101133
109,148,2,93,107,0.465,0.986667,0.614108,0.986667,0.385892,0.757033,0.688571,1.432918,0.101186
110,148,2,92,108,0.46,0.986667,0.616667,0.986667,0.383333,0.758974,0.685714,1.438889,0.104387
111,148,2,91,109,0.455,0.986667,0.619247,0.986667,0.380753,0.760925,0.682857,1.444909,0.10753
112,148,2,90,110,0.45,0.986667,0.621849,0.986667,0.378151,0.762887,0.68,1.45098,0.108021
113,148,2,89,111,0.445,0.986667,0.624473,0.986667,0.375527,0.764858,0.677143,1.457103,0.110623
114,148,2,88,112,0.44,0.986667,0.627119,0.986667,0.372881,0.766839,0.674286,1.463277,0.113935
115,148,2,87,113,0.435,0.986667,0.629787,0.986667,0.370213,0.768831,0.671429,1.469504,0.116453
116,148,2,86,114,0.43,0.986667,0.632479,0.986667,0.367521,0.770833,0.668571,1.475783,0.116676
117,148,2,85,115,0.425,0.986667,0.635193,0.986667,0.364807,0.772846,0.665714,1.482117,0.120107
118,148,2,84,116,0.42,0.986667,0.637931,0.986667,0.362069,0.774869,0.662857,1.488506,0.12017
119,148,2,83,117,0.415,0.986667,0.640693,0.986667,0.359307,0.776903,0.66,1.494949,0.120452
120,148,2,82,118,0.41,0.986667,0.643478,0.986667,0.356522,0.778947,0.657143,1.501449,0.120947
121,147,3,82,118,0.41,0.98,0.641921,0.98,0.358079,0.775726,0.654286,1.497817,0.126241
122,147,3,81,119,0.405,0.98,0.644737,0.98,0.355263,0.777778,0.651429,1.504386,0.127383
123,147,3,80,120,0.4,0.98,0.647577,0.98,0.352423,0.779841,0.648571,1.511013,0.128764
124,147,3,79,121,0.395,0.98,0.650442,0.98,0.349558,0.781915,0.645714,1.517699,0.129515
125,146,4,79,121,0.395,0.973333,0.648889,0.973333,0.351111,0.778667,0.642857,1.514074,0.129528
126,146,4,78,122,0.39,0.973333,0.651786,0.973333,0.348214,0.780749,0.64,1.520833,0.131769
127,146,4,77,123,0.385,0.973333,0.654709,0.973333,0.345291,0.782842,0.637143,1.527653,0.133504
128,146,4,76,124,0.38,0.973333,0.657658,0.973333,0.342342,0.784946,0.634286,1.534535,0.136258
129,146,4,75,125,0.375,0.973333,0.660633,0.973333,0.339367,0.787062,0.631429,1.541478,0.136633
130,146,4,74,126,0.37,0.973333,0.663636,0.973333,0.336364,0.789189,0.628571,1.548485,0.137228
