@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,108,0,242,0,1,1,0.308571,1,0.691429,0.471616,1,1,0
1,108,0,241,1,0.995868,1,0.309456,1,0.690544,0.472648,0.997143,1.002865,0
2,108,0,240,2,0.991736,1,0.310345,1,0.689655,0.473684,0.994286,1.005747,0
3,108,0,239,3,0.987603,1,0.311239,1,0.688761,0.474725,0.991429,1.008646,0
4,108,0,238,4,0.983471,1,0.312139,1,0.687861,0.475771,0.988571,1.011561,0
5,108,0,237,5,0.979339,1,0.313043,1,0.686957,0.476821,0.985714,1.014493,0
6,108,0,236,6,0.975207,1,0.313953,1,0.686047,0.477876,0.982857,1.017442,0
7,108,0,235,7,0.971074,1,0.314869,1,0.685131,0.478936,0.98,1.020408,0
8,108,0,234,8,0.966942,1,0.315789,1,0.684211,0.48,0.977143,1.023392,0
9,108,0,233,9,0.96281,1,0.316716,1,0.683284,0.481069,0.974286,1.026393,0
10,108,0,232,10,0.958678,1,0.317647,1,0.682353,0.482143,0.971429,1.029412,0
11,108,0,231,11,0.954545,1,0.318584,1,0.681416,0.483221,0.968571,1.032448,0
12,108,0,230,12,0.950413,1,0.319527,1,0.680473,0.484305,0.965714,1.035503,0
13,108,0,229,13,0.946281,1,0.320475,1,0.679525,0.485393,0.962857,1.038576,0
14,108,0,228,14,0.942149,1,0.321429,1,0.678571,0.486486,0.96,1.041667,0
15,108,0,227,15,0.938017,1,0.322388,1,0.677612,0.487585,0.957143,1.044776,0
16,108,0,226,16,0.933884,1,0.323353,1,0.676647,0.488688,0.954286,1.047904,0
17,108,0,225,17,0.929752,1,0.324324,1,0.675676,0.489796,0.951429,1.051051,0.000001
18,108,0,224,18,0.92562,1,0.325301,1,0.674699,0.490909,0.948571,1.054217,0.000002
19,107,1,224,18,0.92562,0.990741,0.323263,0.990741,0.676737,0.487472,0.945714,1.047611,0.000004
20,107,1,223,19,0.921488,0.990741,0.324242,0.990741,0.675758,0.488584,0.942857,1.050786,0.000006
21,107,1,222,20,0.917355,0.990741,0.325228,0.990741,0.674772,0.489703,0.94,1.05398,0.000008
22,107,1,221,21,0.913223,0.990741,0.32622,0.990741,0.67378,0.490826,0.937143,1.057193,0.000009
23,107,1,220,22,0.909091,0.990741,0.327217,0.990741,0.672783,0.491954,0.934286,1.060426,0.000012
24,107,1,219,23,0.904959,0.990741,0.328221,0.990741,0.671779,0.493088,0.931429,1.063679,0.000013
25,107,1,218,24,0.900826,0.990741,0.329231,0.990741,0.670769,0.494226,0.928571,1.066952,0.000016
26,107,1,217,25,0.896694,0.990741,0.330247,0.990741,0.669753,0.49537,0.925714,1.070245,0.000021
27,107,1,216,26,0.892562,0.990741,0.331269,0.990741,0.668731,0.49652,0.922857,1.073558,0.000053
28,107,1,215,27,0.88843,0.990741,0.332298,0.990741,0.667702,0.497674,0.92,1.076892,0.000062
29,107,1,214,28,0.884298,0.990741,0.333333,0.990741,0.666667,0.498834,0.917143,1.080247,0.000099
30,107,1,213,29,0.880165,0.990741,0.334375,0.990741,0.665625,0.5,0.914286,1.083623,0.00019
31,107,1,212,30,0.876033,0.990741,0.335423,0.990741,0.664577,0.501171,0.911429,1.08702,0.00026
32,107,1,211,31,0.871901,0.990741,0.336478,0.990741,0.663522,0.502347,0.908571,1.090438,0.00029
33,106,2,211,31,0.871901,0.981481,0.334385,0.981481,0.665615,0.498824,0.905714,1.083655,0.000329
34,106,2,210,32,0.867769,0.981481,0.335443,0.981481,0.664557,0.5,0.902857,1.087084,0.000356
35,106,2,209,33,0.863636,0.981481,0.336508,0.981481,0.663492,0.501182,0.9,1.090535,0.000369
36,106,2,208,34,0.859504,0.981481,0.33758,0.981481,0.66242,0.50237,0.897143,1.094008,0.000372
37,106,2,207,35,0.855372,0.981481,0.338658,0.981481,0.661342,0.503563,0.894286,1.097503,0.000422
38,106,2,206,36,0.85124,0.981481,0.339744,0.981481,0.660256,0.504762,0.891429,1.101021,0.000965
39,106,2,205,37,0.847107,0.981481,0.340836,0.981481,0.659164,0.505967,0.888571,1.104561,0.000969
40,106,2,204,38,0.842975,0.981481,0.341935,0.981481,0.658065,0.507177,0.885714,1.108124,0.001003
41,106,2,203,39,0.838843,0.981481,0.343042,0.981481,0.656958,0.508393,0.882857,1.11171,0.001356
42,106,2,202,40,0.834711,0.981481,0.344156,0.981481,0.655844,0.509615,0.88,1.11532,0.00169
43,106,2,201,41,0.830579,0.981481,0.345277,0.981481,0.654723,0.510843,0.877143,1.118953,0.003116
44,106,2,200,42,0.826446,0.981481,0.346405,0.981481,0.653595,0.512077,0.874286,1.12261,0.003145
45,106,2,199,43,0.822314,0.981481,0.347541,0.981481,0.652459,0.513317,0.871429,1.12629,0.003176
46,106,2,198,44,0.818182,0.981481,0.348684,0.981481,0.651316,0.514563,0.868571,1.129995,0.003888
47,106,2,197,45,0.81405,0.981481,0.349835,0.981481,0.650165,0.515815,0.865714,1.133724,0.004682
48,106,2,196,46,0.809917,0.981481,0.350993,0.981481,0.649007,0.517073,0.862857,1.137479,0.00551
49,106,2,195,47,0.805785,0.981481,0.352159,0.981481,0.647841,0.518337,0.86,1.141258,0.00907
50,106,2,194,48,0.801653,0.981481,0.353333,0.981481,0.646667,0.519608,0.857143,1.145062,0.010749
51,106,2,193,49,0.797521,0.981481,0.354515,0.981481,0.645485,0.520885,0.854286,1.148891,0.011273
52,106,2,192,50,0.793388,0.981481,0.355705,0.981481,0.644295,0.522167,0.851429,1.152747,0.01453
53,106,2,191,51,0.789256,0.981481,0.356902,0.981481,0.643098,0.523457,0.848571,1.156628,0.018652
54,106,2,190,52,0.785124,0.981481,0.358108,0.981481,0.641892,0.524752,0.845714,1.160536,0.01991
55,106,2,189,53,0.780992,0.981481,0.359322,0.981481,0.640678,0.526055,0.842857,1.16447,0.021924
56,106,2,188,54,0.77686,0.981481,0.360544,0.981481,0.639456,0.527363,0.84,1.16843,0.024528
57,106,2,187,55,0.772727,0.981481,0.361775,0.981481,0.638225,0.528678,0.837143,1.172418,0.025877
58,106,2,186,56,0.768595,0.981481,0.363014,0.981481,0.636986,0.53,0.834286,1.176433,0.027369
59,106,2,185,57,0.764463,0.981481,0.364261,0.981481,0.635739,0.531328,0.831429,1.180476,0.029999
60,106,2,184,58,0.760331,0.981481,0.365517,0.981481,0.634483,0.532663,0.828571,1.184547,0.034665
61,106,2,183,59,0.756198,0.981481,0.366782,0.981481,0.633218,0.534005,0.825714,1.188645,0.042029
62,106,2,182,60,0.752066,0.981481,0.368056,0.981481,0.631944,0.535354,0.822857,1.192773,0.047663
63,106,2,181,61,0.747934,0.981481,0.369338,0.981481,0.630662,0.536709,0.82,1.196929,0.050297
64,106,2,180,62,0.743802,0.981481,0.370629,0.981481,0.629371,0.538071,0.817143,1.201114,0.050767
65,106,2,179,63,0.739669,0.981481,0.37193,0.981481,0.62807,0.53944,0.814286,1.205328,0.054011
66,106,2,178,64,0.735537,0.981481,0.373239,0.981481,0.626761,0.540816,0.811429,1.209572,0.054396
67,106,2,177,65,0.731405,0.981481,0.374558,0.981481,0.625442,0.542199,0.808571,1.213846,0.059678
68,106,2,176,66,0.727273,0.981481,0.375887,0.981481,0.624113,0.54359,0.805714,1.218151,0.060104
69,106,2,175,67,0.72314,0.981481,0.377224,0.981481,0.622776,0.544987,0.802857,1.222486,0.065635
70,106,2,174,68,0.719008,0.981481,0.378571,0.981481,0.621429,0.546392,0.8,1.226852,0.066447
71,106,2,173,69,0.714876,0.981481,0.379928,0.981481,0.620072,0.547804,0.797143,1.231249,0.069688
72,106,2,172,70,0.710744,0.981481,0.381295,0.981481,0.618705,0.549223,0.794286,1.235678,0.073117
73,106,2,171,71,0.706612,0.981481,0.382671,0.981481,0.617329,0.550649,0.791429,1.240139,0.073901
74,105,3,171,71,0.706612,0.972222,0.380435,0.972222,0.619565,0.546875,0.788571,1.23289,0.074449
75,105,3,170,72,0.702479,0.972222,0.381818,0.972222,0.618182,0.548303,0.785714,1.237374,0.074848
76,105,3,169,73,0.698347,0.972222,0.383212,0.972222,0.616788,0.549738,0.782857,1.24189,0.082299
77,105,3,168,74,0.694215,0.972222,0.384615,0.972222,0.615385,0.551181,0.78,1.246439,0.082581
78,105,3,167,75,0.690083,0.972222,0.386029,0.972222,0.613971,0.552632,0.777143,1.251021,0.087589
79,105,3,166,76,0.68595,0.972222,0.387454,0.972222,0.612546,0.55409,0.774286,1.255638,0.092036
80,105,3,165,77,0.681818,0.972222,0.388889,0.972222,0.611111,0.555556,0.771429,1.260288,0.093245
81,105,3,164,78,0.677686,0.972222,0.390335,0.972222,0.609665,0.557029,0.768571,1.264973,0.095358
82,105,3,163,79,0.673554,0.972222,0.391791,0.972222,0.608209,0.558511,0.765714,1.269693,0.099742
83,105,3,162,80,0.669421,0.972222,0.393258,0.972222,0.606742,0.56,0.762857,1.274449,0.112056
84,104,4,162,80,0.669421,0.962963,0.390977,0.962963,0.609023,0.55615,0.76,1.267057,0.113819
85,104,4,161,81,0.665289,0.962963,0.392453,0.962963,0.607547,0.557641,0.757143,1.271838,0.116992
86,104,4,160,82,0.661157,0.962963,0.393939,0.962963,0.606061,0.55914,0.754286,1.276655,0.118712
87,104,4,159,83,0.657025,0.962963,0.395437,0.962963,0.604563,0.560647,0.751429,1.28151,0.120785
88,104,4,158,84,0.652893,0.962963,0.396947,0.962963,0.603053,0.562162,0.748571,1.286401,0.124486
89,104,4,157,85,0.64876,0.962963,0.398467,0.962963,0.601533,0.563686,0.745714,1.29133,0.125194
90,104,4,156,86,0.644628,0.962963,0.4,0.962963,0.6,0.565217,0.742857,1.296296,0.128109
91,104,4,155,87,0.640496,0.962963,0.401544,0.962963,0.598456,0.566757,0.74,1.301301,0.130903
92,104,4,154,88,0.636364,0.962963,0.403101,0.962963,0.596899,0.568306,0.737143,1.306345,0.13308
93,104,4,153,89,0.632231,0.962963,0.404669,0.962963,0.595331,0.569863,0.734286,1.311428,0.134328
94,104,4,152,90,0.628099,0.962963,0.40625,0.962963,0.59375,0.571429,0.731429,1.316551,0.1379
95,104,4,151,91,0.623967,0.962963,0.407843,0.962963,0.592157,0.573003,0.728571,1.321714,0.138504
96,104,4,150,92,0.619835,0.962963,0.409449,0.962963,0.590551,0.574586,0.725714,1.326917,0.139326
97,103,5,150,92,0.619835,0.953704,0.407115,0.953704,0.592885,0.570637,0.722857,1.319353,0.140158
98,102,6,150,92,0.619835,0.944444,0.404762,0.944444,0.595238,0.566667,0.72,1.311728,0.146574
99,102,6,149,93,0.615702,0.944444,0.406375,0.944444,0.593625,0.568245,0.717143,1.316954,0.148341
100,101,7,149,93,0.615702,0.935185,0.404,0.935185,0.596,0.564246,0.714286,1.309259,0.154085
